Sequence,Taxon,Trophic Mode,Guild,Growth Morphology,Trait,Confidence Ranking,Notes,Citation/Source
Seq1994,-,-,-,-,-,-,Unassigned,-
Seq2003,-,-,-,-,-,-,Unassigned,-
Seq2004,-,-,-,-,-,-,Unassigned,-
Seq2008,-,-,-,-,-,-,Unassigned,-
Seq2013,-,-,-,-,-,-,Unassigned,-
Seq2033,-,-,-,-,-,-,Unassigned,-
Seq2067,-,-,-,-,-,-,Unassigned,-
Seq2092,-,-,-,-,-,-,Unassigned,-
Seq2098,-,-,-,-,-,-,Unassigned,-
Seq2106,-,-,-,-,-,-,Unassigned,-
Seq2107,-,-,-,-,-,-,Unassigned,-
Seq2133,-,-,-,-,-,-,Unassigned,-
Seq2136,-,-,-,-,-,-,Unassigned,-
Seq2137,-,-,-,-,-,-,Unassigned,-
Seq2142,-,-,-,-,-,-,Unassigned,-
Seq2150,-,-,-,-,-,-,Unassigned,-
Seq2155,-,-,-,-,-,-,Unassigned,-
Seq2179,-,-,-,-,-,-,Unassigned,-
Seq2202,-,-,-,-,-,-,Unassigned,-
Seq2204,-,-,-,-,-,-,Unassigned,-
Seq2207,-,-,-,-,-,-,Unassigned,-
Seq2213,-,-,-,-,-,-,Unassigned,-
Seq2222,-,-,-,-,-,-,Unassigned,-
Seq2234,-,-,-,-,-,-,Unassigned,-
Seq2237,-,-,-,-,-,-,Unassigned,-
Seq2244,-,-,-,-,-,-,Unassigned,-
Seq2246,-,-,-,-,-,-,Unassigned,-
Seq2271,-,-,-,-,-,-,Unassigned,-
Seq2277,-,-,-,-,-,-,Unassigned,-
Seq2290,-,-,-,-,-,-,Unassigned,-
Seq2304,-,-,-,-,-,-,Unassigned,-
Seq2309,-,-,-,-,-,-,Unassigned,-
Seq2312,-,-,-,-,-,-,Unassigned,-
Seq2314,-,-,-,-,-,-,Unassigned,-
Seq2318,-,-,-,-,-,-,Unassigned,-
Seq2339,-,-,-,-,-,-,Unassigned,-
Seq2353,-,-,-,-,-,-,Unassigned,-
Seq2383,-,-,-,-,-,-,Unassigned,-
Seq2408,-,-,-,-,-,-,Unassigned,-
Seq2418,-,-,-,-,-,-,Unassigned,-
Seq2420,-,-,-,-,-,-,Unassigned,-
Seq2429,-,-,-,-,-,-,Unassigned,-
Seq2432,-,-,-,-,-,-,Unassigned,-
Seq2433,-,-,-,-,-,-,Unassigned,-
Seq2437,-,-,-,-,-,-,Unassigned,-
Seq2438,-,-,-,-,-,-,Unassigned,-
Seq2446,-,-,-,-,-,-,Unassigned,-
Seq2452,-,-,-,-,-,-,Unassigned,-
Seq2454,-,-,-,-,-,-,Unassigned,-
Seq2469,-,-,-,-,-,-,Unassigned,-
Seq2471,-,-,-,-,-,-,Unassigned,-
Seq2488,-,-,-,-,-,-,Unassigned,-
Seq2511,-,-,-,-,-,-,Unassigned,-
Seq2514,-,-,-,-,-,-,Unassigned,-
Seq2544,-,-,-,-,-,-,Unassigned,-
Seq2559,-,-,-,-,-,-,Unassigned,-
Seq2562,-,-,-,-,-,-,Unassigned,-
Seq2563,-,-,-,-,-,-,Unassigned,-
Seq2565,-,-,-,-,-,-,Unassigned,-
Seq2568,-,-,-,-,-,-,Unassigned,-
Seq2593,-,-,-,-,-,-,Unassigned,-
Seq2594,-,-,-,-,-,-,Unassigned,-
Seq2599,-,-,-,-,-,-,Unassigned,-
Seq2614,-,-,-,-,-,-,Unassigned,-
Seq2618,-,-,-,-,-,-,Unassigned,-
Seq2629,-,-,-,-,-,-,Unassigned,-
Seq2642,-,-,-,-,-,-,Unassigned,-
Seq2646,-,-,-,-,-,-,Unassigned,-
Seq2650,-,-,-,-,-,-,Unassigned,-
Seq2653,-,-,-,-,-,-,Unassigned,-
Seq2664,-,-,-,-,-,-,Unassigned,-
Seq2674,-,-,-,-,-,-,Unassigned,-
Seq2680,-,-,-,-,-,-,Unassigned,-
Seq2684,-,-,-,-,-,-,Unassigned,-
Seq2716,-,-,-,-,-,-,Unassigned,-
Seq2717,-,-,-,-,-,-,Unassigned,-
Seq2723,-,-,-,-,-,-,Unassigned,-
Seq2755,-,-,-,-,-,-,Unassigned,-
Seq2759,-,-,-,-,-,-,Unassigned,-
Seq2769,-,-,-,-,-,-,Unassigned,-
Seq2784,-,-,-,-,-,-,Unassigned,-
Seq2814,-,-,-,-,-,-,Unassigned,-
Seq2837,-,-,-,-,-,-,Unassigned,-
Seq2852,-,-,-,-,-,-,Unassigned,-
Seq2863,-,-,-,-,-,-,Unassigned,-
Seq2872,-,-,-,-,-,-,Unassigned,-
Seq2874,-,-,-,-,-,-,Unassigned,-
Seq2882,-,-,-,-,-,-,Unassigned,-
Seq2884,-,-,-,-,-,-,Unassigned,-
Seq2890,-,-,-,-,-,-,Unassigned,-
Seq2892,-,-,-,-,-,-,Unassigned,-
Seq2897,-,-,-,-,-,-,Unassigned,-
Seq2904,-,-,-,-,-,-,Unassigned,-
Seq2910,-,-,-,-,-,-,Unassigned,-
Seq2917,-,-,-,-,-,-,Unassigned,-
Seq2927,-,-,-,-,-,-,Unassigned,-
Seq2928,-,-,-,-,-,-,Unassigned,-
Seq2932,-,-,-,-,-,-,Unassigned,-
Seq2937,-,-,-,-,-,-,Unassigned,-
Seq2939,-,-,-,-,-,-,Unassigned,-
Seq2940,-,-,-,-,-,-,Unassigned,-
Seq2953,-,-,-,-,-,-,Unassigned,-
Seq2966,-,-,-,-,-,-,Unassigned,-
Seq2973,-,-,-,-,-,-,Unassigned,-
Seq2975,-,-,-,-,-,-,Unassigned,-
Seq2991,-,-,-,-,-,-,Unassigned,-
Seq2998,-,-,-,-,-,-,Unassigned,-
Seq3021,-,-,-,-,-,-,Unassigned,-
Seq3046,-,-,-,-,-,-,Unassigned,-
Seq3056,-,-,-,-,-,-,Unassigned,-
Seq3057,-,-,-,-,-,-,Unassigned,-
Seq3097,-,-,-,-,-,-,Unassigned,-
Seq3099,-,-,-,-,-,-,Unassigned,-
Seq3126,-,-,-,-,-,-,Unassigned,-
Seq3138,-,-,-,-,-,-,Unassigned,-
Seq3151,-,-,-,-,-,-,Unassigned,-
Seq3160,-,-,-,-,-,-,Unassigned,-
Seq3168,-,-,-,-,-,-,Unassigned,-
Seq3174,-,-,-,-,-,-,Unassigned,-
Seq3179,-,-,-,-,-,-,Unassigned,-
Seq3187,-,-,-,-,-,-,Unassigned,-
Seq3189,-,-,-,-,-,-,Unassigned,-
Seq3196,-,-,-,-,-,-,Unassigned,-
Seq3220,-,-,-,-,-,-,Unassigned,-
Seq3228,-,-,-,-,-,-,Unassigned,-
Seq3234,-,-,-,-,-,-,Unassigned,-
Seq3238,-,-,-,-,-,-,Unassigned,-
Seq3240,-,-,-,-,-,-,Unassigned,-
Seq3250,-,-,-,-,-,-,Unassigned,-
Seq3252,-,-,-,-,-,-,Unassigned,-
Seq3256,-,-,-,-,-,-,Unassigned,-
Seq3270,-,-,-,-,-,-,Unassigned,-
Seq3276,-,-,-,-,-,-,Unassigned,-
Seq3285,-,-,-,-,-,-,Unassigned,-
Seq3287,-,-,-,-,-,-,Unassigned,-
Seq3289,-,-,-,-,-,-,Unassigned,-
Seq3307,-,-,-,-,-,-,Unassigned,-
Seq3340,-,-,-,-,-,-,Unassigned,-
Seq3346,-,-,-,-,-,-,Unassigned,-
Seq3362,-,-,-,-,-,-,Unassigned,-
Seq3370,-,-,-,-,-,-,Unassigned,-
Seq3372,-,-,-,-,-,-,Unassigned,-
Seq3380,-,-,-,-,-,-,Unassigned,-
Seq3382,-,-,-,-,-,-,Unassigned,-
Seq3393,-,-,-,-,-,-,Unassigned,-
Seq3396,-,-,-,-,-,-,Unassigned,-
Seq3398,-,-,-,-,-,-,Unassigned,-
Seq3409,-,-,-,-,-,-,Unassigned,-
Seq3417,-,-,-,-,-,-,Unassigned,-
Seq3447,-,-,-,-,-,-,Unassigned,-
Seq3457,-,-,-,-,-,-,Unassigned,-
Seq3467,-,-,-,-,-,-,Unassigned,-
Seq3485,-,-,-,-,-,-,Unassigned,-
Seq3486,-,-,-,-,-,-,Unassigned,-
Seq3523,-,-,-,-,-,-,Unassigned,-
Seq3531,-,-,-,-,-,-,Unassigned,-
Seq3543,-,-,-,-,-,-,Unassigned,-
Seq3550,-,-,-,-,-,-,Unassigned,-
Seq3551,-,-,-,-,-,-,Unassigned,-
Seq3560,-,-,-,-,-,-,Unassigned,-
Seq3576,-,-,-,-,-,-,Unassigned,-
Seq3578,-,-,-,-,-,-,Unassigned,-
Seq3580,-,-,-,-,-,-,Unassigned,-
Seq3582,-,-,-,-,-,-,Unassigned,-
Seq3594,-,-,-,-,-,-,Unassigned,-
Seq3606,-,-,-,-,-,-,Unassigned,-
Seq3632,-,-,-,-,-,-,Unassigned,-
Seq3643,-,-,-,-,-,-,Unassigned,-
Seq3644,-,-,-,-,-,-,Unassigned,-
Seq3648,-,-,-,-,-,-,Unassigned,-
Seq3656,-,-,-,-,-,-,Unassigned,-
Seq3658,-,-,-,-,-,-,Unassigned,-
Seq3682,-,-,-,-,-,-,Unassigned,-
Seq3692,-,-,-,-,-,-,Unassigned,-
Seq3696,-,-,-,-,-,-,Unassigned,-
Seq3697,-,-,-,-,-,-,Unassigned,-
Seq3699,-,-,-,-,-,-,Unassigned,-
Seq3701,-,-,-,-,-,-,Unassigned,-
Seq3711,-,-,-,-,-,-,Unassigned,-
Seq3722,-,-,-,-,-,-,Unassigned,-
Seq3733,-,-,-,-,-,-,Unassigned,-
Seq3742,-,-,-,-,-,-,Unassigned,-
Seq3768,-,-,-,-,-,-,Unassigned,-
Seq3780,-,-,-,-,-,-,Unassigned,-
Seq3782,-,-,-,-,-,-,Unassigned,-
Seq3789,-,-,-,-,-,-,Unassigned,-
Seq3814,-,-,-,-,-,-,Unassigned,-
Seq3837,-,-,-,-,-,-,Unassigned,-
Seq3842,-,-,-,-,-,-,Unassigned,-
Seq3865,-,-,-,-,-,-,Unassigned,-
Seq3876,-,-,-,-,-,-,Unassigned,-
Seq3914,-,-,-,-,-,-,Unassigned,-
Seq3919,-,-,-,-,-,-,Unassigned,-
Seq3932,-,-,-,-,-,-,Unassigned,-
Seq3939,-,-,-,-,-,-,Unassigned,-
Seq3942,-,-,-,-,-,-,Unassigned,-
Seq3945,-,-,-,-,-,-,Unassigned,-
Seq3977,-,-,-,-,-,-,Unassigned,-
Seq3986,-,-,-,-,-,-,Unassigned,-
Seq3991,-,-,-,-,-,-,Unassigned,-
Seq3993,-,-,-,-,-,-,Unassigned,-
Seq4000,-,-,-,-,-,-,Unassigned,-
Seq4053,-,-,-,-,-,-,Unassigned,-
Seq4070,-,-,-,-,-,-,Unassigned,-
Seq4091,-,-,-,-,-,-,Unassigned,-
Seq4110,-,-,-,-,-,-,Unassigned,-
Seq4114,-,-,-,-,-,-,Unassigned,-
Seq4154,-,-,-,-,-,-,Unassigned,-
Seq4155,-,-,-,-,-,-,Unassigned,-
Seq4174,-,-,-,-,-,-,Unassigned,-
Seq4186,-,-,-,-,-,-,Unassigned,-
Seq4188,-,-,-,-,-,-,Unassigned,-
Seq4194,-,-,-,-,-,-,Unassigned,-
Seq4207,-,-,-,-,-,-,Unassigned,-
Seq4210,-,-,-,-,-,-,Unassigned,-
Seq4221,-,-,-,-,-,-,Unassigned,-
Seq4222,-,-,-,-,-,-,Unassigned,-
Seq4234,-,-,-,-,-,-,Unassigned,-
Seq4243,-,-,-,-,-,-,Unassigned,-
Seq4247,-,-,-,-,-,-,Unassigned,-
Seq4261,-,-,-,-,-,-,Unassigned,-
Seq4268,-,-,-,-,-,-,Unassigned,-
Seq4271,-,-,-,-,-,-,Unassigned,-
Seq4294,-,-,-,-,-,-,Unassigned,-
Seq4297,-,-,-,-,-,-,Unassigned,-
Seq4308,-,-,-,-,-,-,Unassigned,-
Seq4312,-,-,-,-,-,-,Unassigned,-
Seq4317,-,-,-,-,-,-,Unassigned,-
Seq4318,-,-,-,-,-,-,Unassigned,-
Seq4320,-,-,-,-,-,-,Unassigned,-
Seq4325,-,-,-,-,-,-,Unassigned,-
Seq4342,-,-,-,-,-,-,Unassigned,-
Seq4360,-,-,-,-,-,-,Unassigned,-
Seq4361,-,-,-,-,-,-,Unassigned,-
Seq4372,-,-,-,-,-,-,Unassigned,-
Seq4376,-,-,-,-,-,-,Unassigned,-
Seq4386,-,-,-,-,-,-,Unassigned,-
Seq4395,-,-,-,-,-,-,Unassigned,-
Seq4402,-,-,-,-,-,-,Unassigned,-
Seq4409,-,-,-,-,-,-,Unassigned,-
Seq4413,-,-,-,-,-,-,Unassigned,-
Seq4417,-,-,-,-,-,-,Unassigned,-
Seq4418,-,-,-,-,-,-,Unassigned,-
Seq4422,-,-,-,-,-,-,Unassigned,-
Seq4441,-,-,-,-,-,-,Unassigned,-
Seq4461,-,-,-,-,-,-,Unassigned,-
Seq4479,-,-,-,-,-,-,Unassigned,-
Seq4496,-,-,-,-,-,-,Unassigned,-
Seq4498,-,-,-,-,-,-,Unassigned,-
Seq4500,-,-,-,-,-,-,Unassigned,-
Seq4515,-,-,-,-,-,-,Unassigned,-
Seq4520,-,-,-,-,-,-,Unassigned,-
Seq4524,-,-,-,-,-,-,Unassigned,-
Seq4528,-,-,-,-,-,-,Unassigned,-
Seq4544,-,-,-,-,-,-,Unassigned,-
Seq4583,-,-,-,-,-,-,Unassigned,-
Seq4610,-,-,-,-,-,-,Unassigned,-
Seq4614,-,-,-,-,-,-,Unassigned,-
Seq4617,-,-,-,-,-,-,Unassigned,-
Seq4622,-,-,-,-,-,-,Unassigned,-
Seq4626,-,-,-,-,-,-,Unassigned,-
Seq4647,-,-,-,-,-,-,Unassigned,-
Seq4648,-,-,-,-,-,-,Unassigned,-
Seq4658,-,-,-,-,-,-,Unassigned,-
Seq4665,-,-,-,-,-,-,Unassigned,-
Seq4677,-,-,-,-,-,-,Unassigned,-
Seq4688,-,-,-,-,-,-,Unassigned,-
Seq4705,-,-,-,-,-,-,Unassigned,-
Seq4708,-,-,-,-,-,-,Unassigned,-
Seq4716,-,-,-,-,-,-,Unassigned,-
Seq4730,-,-,-,-,-,-,Unassigned,-
Seq4750,-,-,-,-,-,-,Unassigned,-
Seq4752,-,-,-,-,-,-,Unassigned,-
Seq4759,-,-,-,-,-,-,Unassigned,-
Seq4766,-,-,-,-,-,-,Unassigned,-
Seq4770,-,-,-,-,-,-,Unassigned,-
Seq4773,-,-,-,-,-,-,Unassigned,-
Seq4779,-,-,-,-,-,-,Unassigned,-
Seq4786,-,-,-,-,-,-,Unassigned,-
Seq4797,-,-,-,-,-,-,Unassigned,-
Seq4805,-,-,-,-,-,-,Unassigned,-
Seq4807,-,-,-,-,-,-,Unassigned,-
Seq4812,-,-,-,-,-,-,Unassigned,-
Seq4856,-,-,-,-,-,-,Unassigned,-
Seq4858,-,-,-,-,-,-,Unassigned,-
Seq4875,-,-,-,-,-,-,Unassigned,-
Seq4876,-,-,-,-,-,-,Unassigned,-
Seq4881,-,-,-,-,-,-,Unassigned,-
Seq4884,-,-,-,-,-,-,Unassigned,-
Seq4886,-,-,-,-,-,-,Unassigned,-
Seq4891,-,-,-,-,-,-,Unassigned,-
Seq4897,-,-,-,-,-,-,Unassigned,-
Seq4902,-,-,-,-,-,-,Unassigned,-
Seq4913,-,-,-,-,-,-,Unassigned,-
Seq4914,-,-,-,-,-,-,Unassigned,-
Seq4916,-,-,-,-,-,-,Unassigned,-
Seq4940,-,-,-,-,-,-,Unassigned,-
Seq4954,-,-,-,-,-,-,Unassigned,-
Seq4957,-,-,-,-,-,-,Unassigned,-
Seq4967,-,-,-,-,-,-,Unassigned,-
Seq4973,-,-,-,-,-,-,Unassigned,-
Seq4987,-,-,-,-,-,-,Unassigned,-
Seq4992,-,-,-,-,-,-,Unassigned,-
Seq5005,-,-,-,-,-,-,Unassigned,-
Seq5007,-,-,-,-,-,-,Unassigned,-
Seq5015,-,-,-,-,-,-,Unassigned,-
Seq5026,-,-,-,-,-,-,Unassigned,-
Seq5027,-,-,-,-,-,-,Unassigned,-
Seq5029,-,-,-,-,-,-,Unassigned,-
Seq5031,-,-,-,-,-,-,Unassigned,-
Seq5033,-,-,-,-,-,-,Unassigned,-
Seq5038,-,-,-,-,-,-,Unassigned,-
Seq5049,-,-,-,-,-,-,Unassigned,-
Seq5056,-,-,-,-,-,-,Unassigned,-
Seq5067,-,-,-,-,-,-,Unassigned,-
Seq5069,-,-,-,-,-,-,Unassigned,-
Seq5072,-,-,-,-,-,-,Unassigned,-
Seq5083,-,-,-,-,-,-,Unassigned,-
Seq5089,-,-,-,-,-,-,Unassigned,-
Seq5098,-,-,-,-,-,-,Unassigned,-
Seq5100,-,-,-,-,-,-,Unassigned,-
Seq5109,-,-,-,-,-,-,Unassigned,-
Seq5115,-,-,-,-,-,-,Unassigned,-
Seq5117,-,-,-,-,-,-,Unassigned,-
Seq5118,-,-,-,-,-,-,Unassigned,-
Seq5127,-,-,-,-,-,-,Unassigned,-
Seq5129,-,-,-,-,-,-,Unassigned,-
Seq5139,-,-,-,-,-,-,Unassigned,-
Seq5147,-,-,-,-,-,-,Unassigned,-
Seq5153,-,-,-,-,-,-,Unassigned,-
Seq5154,-,-,-,-,-,-,Unassigned,-
Seq5161,-,-,-,-,-,-,Unassigned,-
Seq5170,-,-,-,-,-,-,Unassigned,-
Seq5171,-,-,-,-,-,-,Unassigned,-
Seq5179,-,-,-,-,-,-,Unassigned,-
Seq5185,-,-,-,-,-,-,Unassigned,-
Seq5198,-,-,-,-,-,-,Unassigned,-
Seq5200,-,-,-,-,-,-,Unassigned,-
Seq5209,-,-,-,-,-,-,Unassigned,-
Seq5254,-,-,-,-,-,-,Unassigned,-
Seq5256,-,-,-,-,-,-,Unassigned,-
Seq5268,-,-,-,-,-,-,Unassigned,-
Seq5273,-,-,-,-,-,-,Unassigned,-
Seq5274,-,-,-,-,-,-,Unassigned,-
Seq5276,-,-,-,-,-,-,Unassigned,-
Seq5281,-,-,-,-,-,-,Unassigned,-
Seq5282,-,-,-,-,-,-,Unassigned,-
Seq5297,-,-,-,-,-,-,Unassigned,-
Seq5298,-,-,-,-,-,-,Unassigned,-
Seq5308,-,-,-,-,-,-,Unassigned,-
Seq5327,-,-,-,-,-,-,Unassigned,-
Seq5329,-,-,-,-,-,-,Unassigned,-
Seq5338,-,-,-,-,-,-,Unassigned,-
Seq5359,-,-,-,-,-,-,Unassigned,-
Seq5366,-,-,-,-,-,-,Unassigned,-
Seq5368,-,-,-,-,-,-,Unassigned,-
Seq5387,-,-,-,-,-,-,Unassigned,-
Seq5391,-,-,-,-,-,-,Unassigned,-
Seq5401,-,-,-,-,-,-,Unassigned,-
Seq5403,-,-,-,-,-,-,Unassigned,-
Seq5406,-,-,-,-,-,-,Unassigned,-
Seq5415,-,-,-,-,-,-,Unassigned,-
Seq5427,-,-,-,-,-,-,Unassigned,-
Seq5434,-,-,-,-,-,-,Unassigned,-
Seq5438,-,-,-,-,-,-,Unassigned,-
Seq5451,-,-,-,-,-,-,Unassigned,-
Seq5455,-,-,-,-,-,-,Unassigned,-
Seq5481,-,-,-,-,-,-,Unassigned,-
Seq5487,-,-,-,-,-,-,Unassigned,-
Seq5492,-,-,-,-,-,-,Unassigned,-
Seq5493,-,-,-,-,-,-,Unassigned,-
Seq5498,-,-,-,-,-,-,Unassigned,-
Seq5502,-,-,-,-,-,-,Unassigned,-
Seq5507,-,-,-,-,-,-,Unassigned,-
Seq5519,-,-,-,-,-,-,Unassigned,-
Seq5520,-,-,-,-,-,-,Unassigned,-
Seq5523,-,-,-,-,-,-,Unassigned,-
Seq5538,-,-,-,-,-,-,Unassigned,-
Seq5539,-,-,-,-,-,-,Unassigned,-
Seq5549,-,-,-,-,-,-,Unassigned,-
Seq5564,-,-,-,-,-,-,Unassigned,-
Seq5567,-,-,-,-,-,-,Unassigned,-
Seq5569,-,-,-,-,-,-,Unassigned,-
Seq5574,-,-,-,-,-,-,Unassigned,-
Seq5607,-,-,-,-,-,-,Unassigned,-
Seq5610,-,-,-,-,-,-,Unassigned,-
Seq5622,-,-,-,-,-,-,Unassigned,-
Seq5626,-,-,-,-,-,-,Unassigned,-
Seq5627,-,-,-,-,-,-,Unassigned,-
Seq5632,-,-,-,-,-,-,Unassigned,-
Seq5643,-,-,-,-,-,-,Unassigned,-
Seq5662,-,-,-,-,-,-,Unassigned,-
Seq5671,-,-,-,-,-,-,Unassigned,-
Seq5688,-,-,-,-,-,-,Unassigned,-
Seq5689,-,-,-,-,-,-,Unassigned,-
Seq5708,-,-,-,-,-,-,Unassigned,-
Seq5713,-,-,-,-,-,-,Unassigned,-
Seq5740,-,-,-,-,-,-,Unassigned,-
Seq5744,-,-,-,-,-,-,Unassigned,-
Seq5745,-,-,-,-,-,-,Unassigned,-
Seq5746,-,-,-,-,-,-,Unassigned,-
Seq5759,-,-,-,-,-,-,Unassigned,-
Seq5777,-,-,-,-,-,-,Unassigned,-
Seq5786,-,-,-,-,-,-,Unassigned,-
Seq5790,-,-,-,-,-,-,Unassigned,-
Seq5805,-,-,-,-,-,-,Unassigned,-
Seq5834,-,-,-,-,-,-,Unassigned,-
Seq5836,-,-,-,-,-,-,Unassigned,-
Seq5845,-,-,-,-,-,-,Unassigned,-
Seq5861,-,-,-,-,-,-,Unassigned,-
Seq5865,-,-,-,-,-,-,Unassigned,-
Seq5871,-,-,-,-,-,-,Unassigned,-
Seq5873,-,-,-,-,-,-,Unassigned,-
Seq5879,-,-,-,-,-,-,Unassigned,-
Seq5891,-,-,-,-,-,-,Unassigned,-
Seq5892,-,-,-,-,-,-,Unassigned,-
Seq5945,-,-,-,-,-,-,Unassigned,-
Seq5946,-,-,-,-,-,-,Unassigned,-
Seq5951,-,-,-,-,-,-,Unassigned,-
Seq5991,-,-,-,-,-,-,Unassigned,-
Seq5992,-,-,-,-,-,-,Unassigned,-
Seq5999,-,-,-,-,-,-,Unassigned,-
Seq6001,-,-,-,-,-,-,Unassigned,-
Seq6017,-,-,-,-,-,-,Unassigned,-
Seq6019,-,-,-,-,-,-,Unassigned,-
Seq6028,-,-,-,-,-,-,Unassigned,-
Seq6035,-,-,-,-,-,-,Unassigned,-
Seq6051,-,-,-,-,-,-,Unassigned,-
Seq6058,-,-,-,-,-,-,Unassigned,-
Seq6060,-,-,-,-,-,-,Unassigned,-
Seq6063,-,-,-,-,-,-,Unassigned,-
Seq6064,-,-,-,-,-,-,Unassigned,-
Seq6069,-,-,-,-,-,-,Unassigned,-
Seq6074,-,-,-,-,-,-,Unassigned,-
Seq6076,-,-,-,-,-,-,Unassigned,-
Seq6091,-,-,-,-,-,-,Unassigned,-
Seq6093,-,-,-,-,-,-,Unassigned,-
Seq6100,-,-,-,-,-,-,Unassigned,-
Seq6127,-,-,-,-,-,-,Unassigned,-
Seq6132,-,-,-,-,-,-,Unassigned,-
Seq6149,-,-,-,-,-,-,Unassigned,-
Seq6159,-,-,-,-,-,-,Unassigned,-
Seq6172,-,-,-,-,-,-,Unassigned,-
Seq6173,-,-,-,-,-,-,Unassigned,-
Seq6175,-,-,-,-,-,-,Unassigned,-
Seq6186,-,-,-,-,-,-,Unassigned,-
Seq6199,-,-,-,-,-,-,Unassigned,-
Seq6200,-,-,-,-,-,-,Unassigned,-
Seq6214,-,-,-,-,-,-,Unassigned,-
Seq6215,-,-,-,-,-,-,Unassigned,-
Seq6223,-,-,-,-,-,-,Unassigned,-
Seq6226,-,-,-,-,-,-,Unassigned,-
Seq6234,-,-,-,-,-,-,Unassigned,-
Seq6242,-,-,-,-,-,-,Unassigned,-
Seq6248,-,-,-,-,-,-,Unassigned,-
Seq6251,-,-,-,-,-,-,Unassigned,-
Seq6254,-,-,-,-,-,-,Unassigned,-
Seq6267,-,-,-,-,-,-,Unassigned,-
Seq6293,-,-,-,-,-,-,Unassigned,-
Seq6303,-,-,-,-,-,-,Unassigned,-
Seq6340,-,-,-,-,-,-,Unassigned,-
Seq6343,-,-,-,-,-,-,Unassigned,-
Seq6361,-,-,-,-,-,-,Unassigned,-
Seq6362,-,-,-,-,-,-,Unassigned,-
Seq6380,-,-,-,-,-,-,Unassigned,-
Seq6407,-,-,-,-,-,-,Unassigned,-
Seq6423,-,-,-,-,-,-,Unassigned,-
Seq6469,-,-,-,-,-,-,Unassigned,-
Seq6470,-,-,-,-,-,-,Unassigned,-
Seq6479,-,-,-,-,-,-,Unassigned,-
Seq6480,-,-,-,-,-,-,Unassigned,-
Seq6502,-,-,-,-,-,-,Unassigned,-
Seq6524,-,-,-,-,-,-,Unassigned,-
Seq6533,-,-,-,-,-,-,Unassigned,-
Seq6575,-,-,-,-,-,-,Unassigned,-
Seq6583,-,-,-,-,-,-,Unassigned,-
Seq6585,-,-,-,-,-,-,Unassigned,-
Seq6605,-,-,-,-,-,-,Unassigned,-
Seq6616,-,-,-,-,-,-,Unassigned,-
Seq6617,-,-,-,-,-,-,Unassigned,-
Seq6620,-,-,-,-,-,-,Unassigned,-
Seq6634,-,-,-,-,-,-,Unassigned,-
Seq6636,-,-,-,-,-,-,Unassigned,-
Seq6652,-,-,-,-,-,-,Unassigned,-
Seq6668,-,-,-,-,-,-,Unassigned,-
Seq6671,-,-,-,-,-,-,Unassigned,-
Seq6701,-,-,-,-,-,-,Unassigned,-
Seq6710,-,-,-,-,-,-,Unassigned,-
Seq6712,-,-,-,-,-,-,Unassigned,-
Seq6716,-,-,-,-,-,-,Unassigned,-
Seq6723,-,-,-,-,-,-,Unassigned,-
Seq6732,-,-,-,-,-,-,Unassigned,-
Seq6735,-,-,-,-,-,-,Unassigned,-
Seq6767,-,-,-,-,-,-,Unassigned,-
Seq6771,-,-,-,-,-,-,Unassigned,-
Seq6802,-,-,-,-,-,-,Unassigned,-
Seq6807,-,-,-,-,-,-,Unassigned,-
Seq6826,-,-,-,-,-,-,Unassigned,-
Seq6831,-,-,-,-,-,-,Unassigned,-
Seq6850,-,-,-,-,-,-,Unassigned,-
Seq6866,-,-,-,-,-,-,Unassigned,-
Seq6867,-,-,-,-,-,-,Unassigned,-
Seq6879,-,-,-,-,-,-,Unassigned,-
Seq6880,-,-,-,-,-,-,Unassigned,-
Seq6890,-,-,-,-,-,-,Unassigned,-
Seq6894,-,-,-,-,-,-,Unassigned,-
Seq6919,-,-,-,-,-,-,Unassigned,-
Seq6928,-,-,-,-,-,-,Unassigned,-
Seq6936,-,-,-,-,-,-,Unassigned,-
Seq6949,-,-,-,-,-,-,Unassigned,-
Seq6964,-,-,-,-,-,-,Unassigned,-
Seq6968,-,-,-,-,-,-,Unassigned,-
Seq6977,-,-,-,-,-,-,Unassigned,-
Seq6984,-,-,-,-,-,-,Unassigned,-
Seq6991,-,-,-,-,-,-,Unassigned,-
Seq6999,-,-,-,-,-,-,Unassigned,-
Seq7006,-,-,-,-,-,-,Unassigned,-
Seq7011,-,-,-,-,-,-,Unassigned,-
Seq7012,-,-,-,-,-,-,Unassigned,-
Seq7025,-,-,-,-,-,-,Unassigned,-
Seq7029,-,-,-,-,-,-,Unassigned,-
Seq7035,-,-,-,-,-,-,Unassigned,-
Seq7058,-,-,-,-,-,-,Unassigned,-
Seq7060,-,-,-,-,-,-,Unassigned,-
Seq7084,-,-,-,-,-,-,Unassigned,-
Seq7102,-,-,-,-,-,-,Unassigned,-
Seq7114,-,-,-,-,-,-,Unassigned,-
Seq7134,-,-,-,-,-,-,Unassigned,-
Seq7146,-,-,-,-,-,-,Unassigned,-
Seq7193,-,-,-,-,-,-,Unassigned,-
Seq7226,-,-,-,-,-,-,Unassigned,-
Seq7234,-,-,-,-,-,-,Unassigned,-
Seq7250,-,-,-,-,-,-,Unassigned,-
Seq7256,-,-,-,-,-,-,Unassigned,-
Seq7265,-,-,-,-,-,-,Unassigned,-
Seq7284,-,-,-,-,-,-,Unassigned,-
